Wavelength[nm],AOI 9.65 deg
2602,0.15932
2601,0.16653
2600,0.1741
2599,0.18205
2598,0.1904
2597,0.19918
2596,0.20841
2595,0.21811
2594,0.22832
2593,0.23906
2592,0.25036
2591,0.26225
2590,0.27477
2589,0.28797
2588,0.30186
2587,0.31649
2586,0.33191
2585,0.34815
2584,0.36527
2583,0.38331
2582,0.40233
2581,0.42239
2580,0.44354
2579,0.46587
2578,0.48943
2577,0.5143
2576,0.54056
2575,0.5683
2574,0.5976
2573,0.62856
2572,0.66128
2571,0.69589
2570,0.73249
2569,0.77128
2568,0.81235
2567,0.85583
2566,0.90189
2565,0.95069
2564,1.00242
2563,1.05727
2562,1.11547
2561,1.17722
2560,1.24278
2559,1.3123
2558,1.38616
2557,1.46466
2556,1.54814
2555,1.63694
2554,1.73144
2553,1.83207
2552,1.93925
2551,2.05347
2550,2.17524
2549,2.30509
2548,2.44365
2547,2.59156
2546,2.74953
2545,2.91831
2544,3.09872
2543,3.29165
2542,3.49803
2541,3.7189
2540,3.95537
2539,4.20888
2538,4.4805
2537,4.77161
2536,5.08368
2535,5.41833
2534,5.77726
2533,6.16231
2532,6.57545
2531,7.01876
2530,7.49448
2529,8.00562
2528,8.55414
2527,9.1427
2526,9.7741
2525,10.45127
2524,11.17727
2523,11.95527
2522,12.78854
2521,13.68042
2520,14.63428
2519,15.65314
2518,16.74066
2517,17.90014
2516,19.13466
2515,20.44713
2514,21.84016
2513,23.31596
2512,24.87628
2511,26.5223
2510,28.25451
2509,30.07237
2508,31.97497
2507,33.96019
2506,36.02486
2505,38.1647
2504,40.37429
2503,42.64706
2502,44.97527
2501,47.35014
2500,49.76183
2499,52.20426
2498,54.66185
2497,57.12268
2496,59.57455
2495,62.00517
2494,64.40242
2493,66.7546
2492,69.05064
2491,71.28033
2490,73.43446
2489,75.49982
2488,77.4746
2487,79.35342
2486,81.13227
2485,82.80847
2484,84.38064
2483,85.84863
2482,87.21334
2481,88.4767
2480,89.64147
2479,90.71142
2478,91.69021
2477,92.58231
2476,93.39251
2475,94.12578
2474,94.78718
2473,95.38181
2472,95.91467
2471,96.39067
2470,96.81452
2469,97.19121
2468,97.52448
2467,97.81837
2466,98.07672
2465,98.30304
2464,98.50064
2463,98.67252
2462,98.82151
2461,98.95009
2460,99.06061
2459,99.15517
2458,99.23569
2457,99.30392
2456,99.36135
2455,99.40942
2454,99.44936
2453,99.48229
2452,99.50922
2451,99.53102
2450,99.54846
2449,99.56223
2448,99.57293
2447,99.5811
2446,99.58717
2445,99.59156
2444,99.59457
2443,99.59653
2442,99.59764
2441,99.59811
2440,99.59811
2439,99.59776
2438,99.5972
2437,99.59644
2436,99.59563
2435,99.5947
2434,99.59375
2433,99.59277
2432,99.59179
2431,99.59081
2430,99.58977
2429,99.58871
2428,99.58762
2427,99.58644
2426,99.58521
2425,99.58385
2424,99.58243
2423,99.58087
2422,99.57921
2421,99.57744
2420,99.57555
2419,99.57355
2418,99.57146
2417,99.56927
2416,99.56703
2415,99.56474
2414,99.56242
2413,99.5601
2412,99.55779
2411,99.55554
2410,99.55334
2409,99.55124
2408,99.54926
2407,99.54739
2406,99.54566
2405,99.54411
2404,99.54274
2403,99.54154
2402,99.54053
2401,99.5397
2400,99.53906
2399,99.53861
2398,99.53833
2397,99.53819
2396,99.53821
2395,99.53835
2394,99.5386
2393,99.53893
2392,99.53933
2391,99.53975
2390,99.54019
2389,99.54064
2388,99.54105
2387,99.5414
2386,99.5417
2385,99.54192
2384,99.54202
2383,99.54202
